"Taxon Name", "Synonym", "Name According to"
"Fallopia japonica var. japonica", "Reynoutria japonica Houttuyn var. japonica", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Fallopia sachalinensis", "Reynoutria sachalinensis (F. Schmidt) Nakai", "Schuster, T.M., K.L. Wilson & K.A. Kron. 2011. Phylogenetic relationships of Muehlenbeckia, Fallopia, and Reynoutri (Polygonaceae) investigated with chloroplast and nuclear sequence data. International Journal of Plant Sciences 172(8): 1053-1066."
"Gymnocarpium jessoense subsp. parvulum", "Gymnocarpium continentale (Petrov) Pojarkova", "Rothfels, C.J., A.K. Johnson, M.D. Windham & K.M. Pryer. 2014. Low-copy nuclear data confirm rampant allopolyploidy in the Cystopteridaceae (Polypodiales). Taxon 63(5): 1026-1036"
"Hieracium aurantiacum", "Pilosella aurantiaca (Linnaeus) F.W. Schultz & Schultz Bipontinus", "Hand, R., Kilian, N. & E. von Raab-Straube (eds.). 2009- (continuously updated). International Cichorieae Network: Cichorieae Portal. http://wp6-cichorieae.e-taxonomy.eu/portal (consulted 2010-05-27)"
"Hieracium caespitosum", "Pilosella caespitosa (Dumortier) P.D. Sell & C. West", "Hand, R., Kilian, N. & E. von Raab-Straube (eds.). 2009- (continuously updated). International Cichorieae Network: Cichorieae Portal. http://wp6-cichorieae.e-taxonomy.eu/portal (consulted 2010-05-27)"
"Hieracium pilosella", "Pilosella officinarum F.W. Schultz & Schultz Bipontinus", "Hand, R., Kilian, N. & E. von Raab-Straube (eds.). 2009- (continuously updated). International Cichorieae Network: Cichorieae Portal. http://wp6-cichorieae.e-taxonomy.eu/portal (consulted 2010-05-27)"
"Hieracium piloselloides", "Pilosella piloselloides (Villars) Soják subsp. piloselloides", "Hand, R., Kilian, N. & E. von Raab-Straube (eds.). 2009- (continuously updated). International Cichorieae Network: Cichorieae Portal. http://wp6-cichorieae.e-taxonomy.eu/portal (consulted 2010-05-27)"
"Huperzia appalachiana", "Huperzia appressa (Desvaux) Á. Löve & D. Löve", ""
"Juncus acuminatus", "Juncus arcticus Willdenow subsp. arcticus", ""
"Juncus arcticus var. alaskanus", "Juncus arcticus subsp. alaskanus Hultén", ""
"Juncus arcticus var. alaskanus", "Juncus arcticus subsp. alaskanus Hultén", ""
"Juncus arcticus var. balticus", "Juncus balticus Willdenow", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp."
"Juncus ensifolius var. ensifolius", "Juncus ensifolius Wikström", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp."
"Juncus stygius var. americanus", "Juncus stygius subsp. americanus (Buchenau) Hultén", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp."
"Juncus triglumis var. albescens", "Juncus triglumis subsp. albescens (Lange) Hultén", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp."
"Kobresia myosuroides", "Carex myosuroides Villars", "Global Carex Group. 2015. Making Carex monophyletic (Cyperaceae, tribe Cariceae): a new broader circumscription. Botanical Journal of the Linnean Society"
"Kobresia simpliciuscula", "Carex simpliciuscula Wahlenberg", "Global Carex Group. 2015. Making Carex monophyletic (Cyperaceae, tribe Cariceae): a new broader circumscription. Botanical Journal of the Linnean Society"
"Kochia scoparia", "Bassia scoparia (Linnaeus) Voss", "Kadereit, G. & H. Freitag. 2011. Molecular phylogeny of Camphorosmeae (Camphorosmoideae, Chenopodiaceae): Implications for biogeography, evolution of C4-photosynthesis and taxonomy. Taxon 60: 51-78."
"Kochia scoparia subsp. scoparia", "Bassia scoparia (Linnaeus) Voss", "Kadereit, G. & H. Freitag. 2011. Molecular phylogeny of Camphorosmeae (Camphorosmoideae, Chenopodiaceae): Implications for biogeography, evolution of C4-photosynthesis and taxonomy. Taxon 60: 51-78."
"Leptochloa fusca subsp. fascicularis", "Diplachne fusca subsp. fascicularis (Lamarck) P.M. Peterson & N. Snow", "Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
