"","Volume","Taxon name"
"Dichanthelium sect. Clandestina","Volume 25","Dichanthelium sect. Clandestina"
"Dichanthelium sect. Dichanthelium","Volume 25","Dichanthelium sect. Dichanthelium"
"Dichanthelium sect. Ensifolia","Volume 25","Dichanthelium sect. Ensifolia"
"Dichanthelium sect. Lancearia","Volume 25","Dichanthelium sect. Lancearia"
"Dichanthelium sect. Lanuginosa","Volume 25","Dichanthelium sect. Lanuginosa"
"Dichanthelium sect. Linearifolia","Volume 25","Dichanthelium sect. Linearifolia"
"Dichanthelium sect. Macrocarpa","Volume 25","Dichanthelium sect. Macrocarpa"
"Dichanthelium sect. Nudicaulia","Volume 25","Dichanthelium sect. Nudicaulia"
"Dichanthelium sect. Oligosantha","Volume 25","Dichanthelium sect. Oligosantha"
"Dichanthelium sect. Pedicellata","Volume 25","Dichanthelium sect. Pedicellata"
"Dichanthelium sect. Sphaerocarpa","Volume 25","Dichanthelium sect. Sphaerocarpa"
"Dichanthelium sect. Strigosa","Volume 25","Dichanthelium sect. Strigosa"
"Dichanthelium tenue","Volume 25","Dichanthelium tenue"
"Dichanthelium ×anthophysum","Volume 25","Dichanthelium ×anthophysum"
"Dichodontium pellucidum","Volume 27","Dichodontium pellucidum"
"Dicranella cerviculata","Volume 27","Dicranella cerviculata"
"Dicranella heteromalla","Volume 27","Dicranella heteromalla"
"Dicranella rufescens","Volume 27","Dicranella rufescens"
"Dicranella subulata","Volume 27","Dicranella subulata"
"Dicranella varia","Volume 27","Dicranella varia"
"Dicranum bonjeanii","Volume 27","Dicranum bonjeanii"
"Dicranum flagellare","Volume 27","Dicranum flagellare"
"Dicranum fuscescens var. fuscescens","Volume 27","Dicranum fuscescens var. fuscescens"
"Dicranum leioneuron","Volume 27","Dicranum leioneuron"
"Dicranum majus var. majus","Volume 27","Dicranum majus var. majus"
"Dicranum montanum","Volume 27","Dicranum montanum"
"Dicranum ontariense","Volume 27","Dicranum ontariense"
"Dicranum polysetum","Volume 27","Dicranum polysetum"
"Dicranum scoparium","Volume 27","Dicranum scoparium"
"Dicranum spurium","Volume 27","Dicranum spurium"
"Dicranum undulatum","Volume 27","Dicranum undulatum"
"Dicranum viride","Volume 27","Dicranum viride"
"Didymodon fallax","Volume 27","Didymodon fallax"
"Digitaria","Volume 25","Digitaria"
"Digitaria bakeri","Volume 25","Digitaria bakeri"
"Digitaria didactyla","Volume 25","Digitaria didactyla"
"Digitaria ischaemum","Volume 25","Digitaria ischaemum"
"Digitaria leucocoma","Volume 25","Digitaria leucocoma"
"Digitaria sanguinalis","Volume 25","Digitaria sanguinalis"
"Digitaria tomentosa","Volume 25","Digitaria tomentosa"
"Diphasiastrum complanatum","Volume 2","Diphasiastrum complanatum"
"Diphasiastrum digitatum","Volume 2","Diphasiastrum digitatum"
"Diphasiastrum sitchense","Volume 2","Diphasiastrum sitchense"
"Diphasiastrum tristachyum","Volume 2","Diphasiastrum tristachyum"
