"x"
"Poa sect. Micrantherae"
"Poa sect. Oreinos"
"Poa sect. Pandemos"
"Poa sect. Poa"
"Poa sect. Secundae"
"Poa sect. Stenopoa"
"Poa sect. Sylvestres"
"Poa sect. Tichopoa"
"Poa subg. Arctopoa"
"Poa subg. Poa"
"Poa sublanata"
"Poa subsect. Epiles"
"Poa subsect. Halophytae"
"Poa subsect. Madropoa"
"Poa subsect. Poa"
"Poa subsect. Secundae"
"Poa supina"
"Poa trivialis"
"Poa ×gaspensis"
"Podostemum ceratophyllum"
"Pogonatum pensilvanicum"
"Pogonatum urnigerum"
"Pogonia ophioglossoides"
"Pohlia andalusica"
"Pohlia filum"
"Pohlia lescuriana"
"Pohlia nutans"
"Pohlia proligera"
"Pohlia wahlenbergii"
"Polygonella articulata"
"Polygonum aviculare"
"Polygonum aviculare subsp. aviculare"
"Polygonum aviculare subsp. depressum"
"Polygonum aviculare subsp. neglectum"
"Polygonum fowleri"
"Polygonum fowleri subsp. fowleri"
"Polygonum oxyspermum"
"Polygonum oxyspermum subsp. raii"
"Polygonum ramosissimum"
"Polygonum ramosissimum subsp. prolificum"
"Polygonum ramosissimum subsp. ramosissimum"
"Polypodium appalachianum"
"Polypodium virginianum"
"Polystichum acrostichoides"
"Polytrichastrum formosum var. densifolium"
"Polytrichastrum pallidisetum"
"Polytrichum commune var. commune"
"Polytrichum juniperinum"
"Polytrichum piliferum"
"Polytrichum strictum"
"Pontederia cordata"
"Populus balsamifera"
"Populus grandidentata"
"Populus tremuloides"
"Portulaca oleracea"
"Potamogeton alpinus"
"Potamogeton epihydrus"
"Potamogeton foliosus"
"Potamogeton foliosus subsp. foliosus"
"Potamogeton friesii"
"Potamogeton gramineus"
"Potamogeton natans"
"Potamogeton obtusifolius"
"Potamogeton perfoliatus"
"Potamogeton praelongus"
"Potamogeton pulcher"
"Potamogeton pusillus"
"Potamogeton pusillus subsp. pusillus"
"Potamogeton pusillus subsp. tenuissimus"
"Potamogeton robbinsii"
"Potamogeton spirillus"
"Potamogeton zosteriformis"
"Potentilla anserina"
"Potentilla anserina subsp. anserina"
"Potentilla anserina subsp. pacifica"
"Potentilla argentea"
"Potentilla gracilis"
"Potentilla gracilis var. fastigiata"
"Potentilla inclinata"
"Potentilla intermedia"
"Potentilla norvegica"
"Potentilla recta"
"Potentilla simplex"
"Prenanthes altissima"
"Prenanthes trifoliolata"
"Prunus cerasus"
"Prunus pensylvanica"
"Prunus virginiana"
"Prunus virginiana var. virginiana"
"Pseudobryum cinclidioides"
"Pseudognaphalium macounii"
"Pseudognaphalium obtusifolium"
"Pseudotaxiphyllum elegans"
"Pteridium aquilinum"
