"x"
"Fragaria vesca subsp. americana"
"Fragaria virginiana"
"Fragaria virginiana subsp. glauca"
"Fragaria virginiana subsp. virginiana"
"Frangula alnus"
"Fumaria officinalis"
"Funaria hygrometrica var. hygrometrica"
"Galinsoga quadriradiata"
"Gaultheria hispidula"
"Gaultheria procumbens"
"Gaylussacia baccata"
"Gaylussacia bigeloviana"
"Gemmabryum caespiticium"
"Gemmabryum subapiculatum"
"Gemmabryum tenuisetum"
"Gemmabryum violaceum"
"Geocaulon lividum"
"Geum aleppicum"
"Geum canadense"
"Geum laciniatum"
"Geum macrophyllum"
"Geum macrophyllum var. macrophyllum"
"Geum peckii"
"Geum rivale"
"Glyceria"
"Glyceria alnasteretum"
"Glyceria borealis"
"Glyceria canadensis"
"Glyceria canadensis var. canadensis"
"Glyceria canadensis var. laxa"
"Glyceria elata"
"Glyceria fluitans"
"Glyceria grandis"
"Glyceria grandis var. grandis"
"Glyceria melicaria"
"Glyceria notata"
"Glyceria obtusa"
"Glyceria sect. Glyceria"
"Glyceria sect. Hydropoa"
"Glyceria sect. Striatae"
"Glyceria striata"
"Gnaphalium uliginosum"
"Goodyera oblongifolia"
"Goodyera pubescens"
"Goodyera repens"
"Goodyera tesselata"
"Gratiola lutea"
"Gratiola neglecta"
"Grimmia anomala"
"Grimmia longirostris"
"Grimmia olneyi"
"Grimmia pilifera"
"Gymnocarpium dryopteris"
"Gymnostomum aeruginosum"
"Gyroweisia tenuis"
"Hamamelis virginiana"
"Hedwigia ciliata"
"Helenium flexuosum"
"Helianthus annuus"
"Helianthus giganteus"
"Helianthus pauciflorus"
"Helianthus pauciflorus subsp. subrhomboideus"
"Helianthus tuberosus"
"Hemerocallis fulva"
"Herzogiella striatella"
"Herzogiella turfacea"
"Hesperis matronalis"
"Heterocladium dimorphum"
"Hibiscus trionum"
"Hieracium aurantiacum"
"Hieracium caespitosum"
"Hieracium flagellare"
"Hieracium lactucella"
"Hieracium murorum"
"Hieracium paniculatum"
"Hieracium pilosella"
"Hieracium piloselloides"
"Hieracium robinsonii"
"Hieracium sabaudum"
"Hieracium scabrum"
"Hieracium umbellatum"
"Hieracium vulgatum"
"Hippuris vulgaris"
"Holcus"
"Holcus ianatus"
"Holcus lanatus"
"Homalia trichomanoides var. trichomanoides"
"Homomallium adnatum"
"Honckenya peploides"
"Honckenya peploides subsp. robusta"
"Hordeum"
"Hordeum jubatum"
"Hordeum jubatum subsp. intermedium"
"Hordeum jubatum subsp. jubatum"
"Hordeum secalinum"
"Hordeum vulgare"
"Hudsonia ericoides"
"Hudsonia tomentosa"
"Humulus lupulus"
"Humulus lupulus var. lupuloides"
"Humulus lupulus var. lupulus"
"Huperzia appalachiana"
"Huperzia lucidula"
"Huperzia selago"
"Hydrangea arborescens"
"Hygroamblystegium varium var. humile"
"Hygroamblystegium varium var. varium"
"Hygrohypnum bestii"
"Hygrohypnum duriusculum"
"Hygrohypnum eugyrium"
"Hygrohypnum montanum"
"Hygrohypnum ochraceum"
"Hygrohypnum smithii"
"Hygrohypnum subeugyrium"
"Hylocomiastrum pyrenaicum"
"Hylocomiastrum umbratum"
"Hylocomium splendens"
"Hylotelephium telephium"
"Hymenostylium recurvirostrum var. recurvirostrum"
"Hypericum boreale"
"Hypericum canadense"
"Hypericum ellipticum"
"Hypericum gentianoides"
"Hypericum majus"
"Hypericum mutilum"
"Hypericum mutilum subsp. mutilum"
"Hypericum perforatum"
